Facility ID,Measure Name,Score,Compared to National
000030,Readmission rate for heart failure patients,15.91,Worse
000030,Readmission rate for pneumonia patients,18.6,No Different
000030,Readmission rate for stroke patients,18.94,No Different
000031,Readmission rate for stroke patients,10.74,No Different
000031,Readmission rate for hip/knee replacement patients,9.43,No Different
000031,Readmission rate for heart failure patients,8,No Different
000032,Readmission rate for heart failure patients,14.04,No Different
000032,Readmission rate for stroke patients,15.82,Worse
000032,Readmission rate for heart attack patients,16.45,No Different
000032,Readmission rate for COPD patients,14.74,No Different
000032,Readmission rate for pneumonia patients,16.16,No Different
000033,Readmission rate for COPD patients,15.4,No Different
000033,Readmission rate for pneumonia patients,10.92,Better
000033,Readmission rate for heart failure patients,16.34,No Different
000034,Readmission rate for heart failure patients,17.89,No Different
000034,Readmission rate for heart attack patients,20.24,Better
000034,Readmission rate for pneumonia patients,17.56,Worse
000034,Readmission rate for COPD patients,17.3,No Different
000035,Readmission rate for pneumonia patients,17.55,Better
000035,Readmission rate for stroke patients,15.86,No Different
000035,Readmission rate for COPD patients,17.6,No Different
000035,Readmission rate for heart attack patients,15.02,No Different
000035,Readmission rate for hip/knee replacement patients,15.52,No Different
000036,Readmission rate for heart attack patients,21.87,Better
000036,Readmission rate for COPD patients,23.14,No Different
000036,Readmission rate for pneumonia patients,22.24,No Different
000036,Readmission rate for heart failure patients,20.27,No Different
000037,Readmission rate for heart attack patients,9.9,Better
000037,Readmission rate for COPD patients,8.68,No Different
000037,Readmission rate for stroke patients,8.54,No Different
000038,Readmission rate for stroke patients,15.92,Worse
000038,Readmission rate for heart failure patients,17.61,No Different
000038,Readmission rate for heart attack patients,15.29,No Different
000038,Readmission rate for pneumonia patients,19.38,No Different
000038,Readmission rate for hip/knee replacement patients,16.7,No Different
000039,Readmission rate for hip/knee replacement patients,24.8,No Different
000039,Readmission rate for pneumonia patients,27.96,Worse
000039,Readmission rate for heart attack patients,26.23,No Different
000039,Readmission rate for heart failure patients,27.3,No Different
000039,Readmission rate for stroke patients,24.02,No Different
000039,Readmission rate for COPD patients,20.82,Worse
000040,Readmission rate for heart failure patients,17.63,No Different
000040,Readmission rate for pneumonia patients,18.23,No Different
000040,Readmission rate for COPD patients,16.99,No Different
000040,Readmission rate for hip/knee replacement patients,15.84,No Different
000040,Readmission rate for heart attack patients,17.24,No Different
000041,Readmission rate for heart attack patients,18.34,No Different
000041,Readmission rate for hip/knee replacement patients,19.79,Better
000041,Readmission rate for pneumonia patients,18.91,Better
000041,Readmission rate for heart failure patients,20.76,Better
000041,Readmission rate for stroke patients,16.78,No Different
000041,Readmission rate for COPD patients,17.62,Worse
000042,Readmission rate for COPD patients,17,No Different
000042,Readmission rate for pneumonia patients,21.08,Better
000042,Readmission rate for heart failure patients,16.06,No Different
000042,Readmission rate for stroke patients,17.71,No Different
000043,Readmission rate for heart failure patients,20.01,No Different
000043,Readmission rate for COPD patients,21.14,No Different
000043,Readmission rate for hip/knee replacement patients,20.49,No Different
000043,Readmission rate for pneumonia patients,19.08,Better
000043,Readmission rate for heart attack patients,16.25,Better
000043,Readmission rate for stroke patients,20.86,No Different
000044,Readmission rate for heart attack patients,17.53,Better
000044,Readmission rate for pneumonia patients,16.13,No Different
000044,Readmission rate for stroke patients,17.27,Worse
000044,Readmission rate for heart failure patients,15.56,No Different
000045,Readmission rate for COPD patients,11.78,No Different
000045,Readmission rate for stroke patients,16.31,No Different
000045,Readmission rate for pneumonia patients,12.07,Worse
000045,Readmission rate for heart attack patients,18.38,No Different
000045,Readmission rate for hip/knee replacement patients,14.54,No Different
000046,Readmission rate for pneumonia patients,13.07,No Different
000046,Readmission rate for heart attack patients,8.97,No Different
000046,Readmission rate for heart failure patients,10.2,Worse
000046,Readmission rate for COPD patients,11.86,No Different
000047,Readmission rate for COPD patients,17.6,Worse
000047,Readmission rate for heart failure patients,17.2,No Different
000047,Readmission rate for stroke patients,15.88,Better
000047,Readmission rate for heart attack patients,16,No Different
000047,Readmission rate for hip/knee replacement patients,12.96,No Different
000047,Readmission rate for pneumonia patients,13.02,No Different
000048,Readmission rate for heart failure patients,15.77,No Different
000048,Readmission rate for pneumonia patients,15.77,No Different
000048,Readmission rate for heart attack patients,16.42,No Different
000048,Readmission rate for stroke patients,20.98,Better
000048,Readmission rate for COPD patients,15.42,No Different
000048,Readmission rate for hip/knee replacement patients,16.45,No Different
000049,Readmission rate for heart attack patients,16.31,No Different
000049,Readmission rate for heart failure patients,18.64,Better
000049,Readmission rate for COPD patients,15.31,Better
000049,Readmission rate for pneumonia patients,18.58,No Different
000049,Readmission rate for hip/knee replacement patients,17.89,No Different
000050,Readmission rate for COPD patients,10.99,No Different
000050,Readmission rate for hip/knee replacement patients,12.16,No Different
000050,Readmission rate for stroke patients,14.41,Worse
000050,Readmission rate for heart failure patients,14.24,Better
000050,Readmission rate for pneumonia patients,13.01,No Different
000050,Readmission rate for heart attack patients,11.9,No Different
000051,Readmission rate for heart failure patients,17.13,No Different
000051,Readmission rate for pneumonia patients,21,No Different
000051,Readmission rate for hip/knee replacement patients,25.12,No Different
000051,Readmission rate for stroke patients,23.8,No Different
000051,Readmission rate for COPD patients,19.79,No Different
000051,Readmission rate for heart attack patients,19.68,No Different
000052,Readmission rate for stroke patients,10.39,No Different
000052,Readmission rate for COPD patients,11.77,No Different
000052,Readmission rate for heart failure patients,13.51,No Different
000052,Readmission rate for hip/knee replacement patients,10.86,No Different
000052,Readmission rate for pneumonia patients,11,No Different
000053,Readmission rate for heart failure patients,14.92,No Different
000053,Readmission rate for hip/knee replacement patients,9.83,Better
000053,Readmission rate for stroke patients,12.97,No Different
000053,Readmission rate for pneumonia patients,10.75,No Different
000053,Readmission rate for heart attack patients,8,No Different
000053,Readmission rate for COPD patients,15.04,Better
000054,Readmission rate for pneumonia patients,18.44,No Different
000054,Readmission rate for stroke patients,19.91,No Different
000054,Readmission rate for heart failure patients,16.95,Better
000055,Readmission rate for heart failure patients,17.58,No Different
000055,Readmission rate for heart attack patients,19.46,No Different
000055,Readmission rate for stroke patients,17.17,No Different
000056,Readmission rate for hip/knee replacement patients,16.52,No Different
000056,Readmission rate for stroke patients,19.21,No Different
000056,Readmission rate for heart attack patients,13.17,No Different
000057,Readmission rate for heart failure patients,18.62,No Different
000057,Readmission rate for pneumonia patients,15.05,Worse
000057,Readmission rate for hip/knee replacement patients,19.24,Worse
000058,Readmission rate for pneumonia patients,11.21,No Different
000058,Readmission rate for heart failure patients,12.7,No Different
000058,Readmission rate for stroke patients,13.21,No Different
000059,Readmission rate for pneumonia patients,13.62,No Different
000059,Readmission rate for stroke patients,9.67,Better
000059,Readmission rate for heart attack patients,12.65,No Different
000059,Readmission rate for hip/knee replacement patients,14.26,No Different
000059,Readmission rate for heart failure patients,12.5,No Different
000059,Readmission rate for COPD patients,10.96,Better
000060,Readmission rate for pneumonia patients,19.22,Better
000060,Readmission rate for COPD patients,18.05,No Different
000060,Readmission rate for heart attack patients,16.78,No Different
000060,Readmission rate for stroke patients,18.24,Better
000060,Readmission rate for heart failure patients,21.28,No Different
000060,Readmission rate for hip/knee replacement patients,15.96,No Different
000061,Readmission rate for hip/knee replacement patients,18.45,Better
000061,Readmission rate for COPD patients,15.44,No Different
000061,Readmission rate for heart failure patients,15.43,No Different
000061,Readmission rate for stroke patients,13.82,No Different
000061,Readmission rate for pneumonia patients,15.63,Better
000062,Readmission rate for COPD patients,17.24,No Different
000062,Readmission rate for stroke patients,17.01,No Different
000062,Readmission rate for heart attack patients,16.36,No Different
000062,Readmission rate for pneumonia patients,15.26,No Different
000063,Readmission rate for pneumonia patients,16.88,Better
000063,Readmission rate for heart failure patients,18.42,No Different
000063,Readmission rate for stroke patients,15.74,No Different
000063,Readmission rate for heart attack patients,16.69,No Different
000063,Readmission rate for COPD patients,14.18,No Different
000063,Readmission rate for hip/knee replacement patients,18.32,Better
000064,Readmission rate for COPD patients,14.95,Better
000064,Readmission rate for heart failure patients,16.99,No Different
000064,Readmission rate for hip/knee replacement patients,18.21,No Different
000064,Readmission rate for pneumonia patients,16.34,No Different
000065,Readmission rate for COPD patients,23.19,Better
000065,Readmission rate for heart failure patients,19.26,No Different
000065,Readmission rate for heart attack patients,19.7,Worse
000065,Readmission rate for hip/knee replacement patients,17.62,No Different
000066,Readmission rate for heart failure patients,17.5,No Different
000066,Readmission rate for pneumonia patients,13.37,No Different
000066,Readmission rate for COPD patients,14.16,No Different
000066,Readmission rate for stroke patients,17.36,No Different
000067,Readmission rate for heart attack patients,13.86,No Different
000067,Readmission rate for hip/knee replacement patients,15.63,No Different
000067,Readmission rate for stroke patients,18.15,No Different
000068,Readmission rate for stroke patients,15.39,No Different
000068,Readmission rate for COPD patients,17.68,Better
000068,Readmission rate for hip/knee replacement patients,12.44,No Different
000068,Readmission rate for heart attack patients,13.77,No Different
000069,Readmission rate for stroke patients,13.69,No Different
000069,Readmission rate for COPD patients,10.72,No Different
000069,Readmission rate for heart failure patients,11.75,No Different
000069,Readmission rate for hip/knee replacement patients,12.68,No Different
000069,Readmission rate for pneumonia patients,10.45,Worse
000070,Readmission rate for stroke patients,15.59,No Different
000070,Readmission rate for COPD patients,17.33,Better
000070,Readmission rate for heart attack patients,21.78,No Different
000070,Readmission rate for heart failure patients,12.98,No Different
000070,Readmission rate for hip/knee replacement patients,17.1,No Different
000070,Readmission rate for pneumonia patients,13.87,No Different
000071,Readmission rate for heart attack patients,23.21,No Different
000071,Readmission rate for heart failure patients,20.5,No Different
000071,Readmission rate for hip/knee replacement patients,22.61,Better
000071,Readmission rate for stroke patients,25.24,No Different
000071,Readmission rate for pneumonia patients,25.38,Worse
000071,Readmission rate for COPD patients,23.48,No Different
000072,Readmission rate for heart attack patients,20.12,No Different
000072,Readmission rate for COPD patients,19.02,No Different
000072,Readmission rate for heart failure patients,22.6,No Different
000073,Readmission rate for stroke patients,24.82,No Different
000073,Readmission rate for heart attack patients,24.05,No Different
000073,Readmission rate for hip/knee replacement patients,26.56,Worse
000074,Readmission rate for heart failure patients,16.51,No Different
000074,Readmission rate for COPD patients,14.15,No Different
000074,Readmission rate for heart attack patients,13.93,No Different
000074,Readmission rate for hip/knee replacement patients,15.42,No Different
000075,Readmission rate for hip/knee replacement patients,13.95,No Different
000075,Readmission rate for pneumonia patients,15.51,No Different
000075,Readmission rate for heart attack patients,14.65,Better
000075,Readmission rate for stroke patients,12.88,No Different
000075,Readmission rate for heart failure patients,13.02,No Different
000075,Readmission rate for COPD patients,14.9,No Different
000076,Readmission rate for heart attack patients,23.19,No Different
000076,Readmission rate for pneumonia patients,16.78,No Different
000076,Readmission rate for COPD patients,16.53,No Different
000076,Readmission rate for stroke patients,20.27,No Different
000076,Readmission rate for hip/knee replacement patients,15.89,Better
000076,Readmission rate for heart failure patients,18.16,Better
000077,Readmission rate for stroke patients,17.03,Better
000077,Readmission rate for heart failure patients,17.14,Better
000077,Readmission rate for pneumonia patients,19.14,No Different
000077,Readmission rate for hip/knee replacement patients,19.52,No Different
000078,Readmission rate for hip/knee replacement patients,13.75,No Different
000078,Readmission rate for pneumonia patients,16.4,No Different
000078,Readmission rate for heart failure patients,16.75,Worse
000079,Readmission rate for stroke patients,14.5,No Different
000079,Readmission rate for pneumonia patients,15.41,Better
000079,Readmission rate for heart attack patients,12.51,Better
000079,Readmission rate for heart failure patients,12.7,No Different
000080,Readmission rate for hip/knee replacement patients,16.94,No Different
000080,Readmission rate for heart failure patients,18.65,No Different
000080,Readmission rate for stroke patients,19.12,No Different
000080,Readmission rate for COPD patients,18.58,Better
000080,Readmission rate for heart attack patients,16.4,No Different
000081,Readmission rate for stroke patients,16.96,No Different
000081,Readmission rate for hip/knee replacement patients,16.06,Better
000081,Readmission rate for COPD patients,16.24,Better
000081,Readmission rate for heart failure patients,17.59,No Different
000081,Readmission rate for pneumonia patients,14.86,Better
000081,Readmission rate for heart attack patients,14.19,No Different
000082,Readmission rate for stroke patients,19.9,Better
000082,Readmission rate for pneumonia patients,19.79,No Different
000082,Readmission rate for hip/knee replacement patients,19.05,No Different
000082,Readmission rate for heart attack patients,15.48,No Different
000083,Readmission rate for stroke patients,19.35,Worse
000083,Readmission rate for heart failure patients,14.5,No Different
000083,Readmission rate for COPD patients,18.24,No Different
000084,Readmission rate for hip/knee replacement patients,15.19,Worse
000084,Readmission rate for pneumonia patients,16.28,Better
000084,Readmission rate for stroke patients,14.42,No Different
000084,Readmission rate for heart attack patients,15.56,No Different
000085,Readmission rate for pneumonia patients,14.58,No Different
000085,Readmission rate for stroke patients,17.34,Better
000085,Readmission rate for heart failure patients,20.26,No Different
000085,Readmission rate for heart attack patients,13.52,No Different
000086,Readmission rate for heart failure patients,17.69,Better
000086,Readmission rate for COPD patients,17.72,Better
000086,Readmission rate for pneumonia patients,15.95,No Different
000086,Readmission rate for hip/knee replacement patients,12.6,No Different
000086,Readmission rate for heart attack patients,15.74,No Different
000087,Readmission rate for heart attack patients,15.95,No Different
000087,Readmission rate for hip/knee replacement patients,23.79,No Different
000087,Readmission rate for COPD patients,17.69,No Different
000088,Readmission rate for pneumonia patients,14.44,Better
000088,Readmission rate for hip/knee replacement patients,9.69,No Different
000088,Readmission rate for COPD patients,11.98,No Different
000088,Readmission rate for stroke patients,10.38,No Different
000088,Readmission rate for heart attack patients,13.68,No Different
000088,Readmission rate for heart failure patients,10.67,No Different
000089,Readmission rate for pneumonia patients,15.31,No Different
000089,Readmission rate for heart attack patients,14.34,No Different
000089,Readmission rate for stroke patients,12.01,No Different
000090,Readmission rate for COPD patients,15.25,No Different
000090,Readmission rate for stroke patients,13.55,Better
000090,Readmission rate for heart failure patients,14.2,No Different
000090,Readmission rate for hip/knee replacement patients,15.5,Better
000091,Readmission rate for pneumonia patients,12.41,No Different
000091,Readmission rate for stroke patients,15.34,No Different
000091,Readmission rate for heart failure patients,15.44,No Different
000091,Readmission rate for COPD patients,12.09,No Different
000091,Readmission rate for heart attack patients,13.33,No Different
000091,Readmission rate for hip/knee replacement patients,12.07,No Different
000092,Readmission rate for pneumonia patients,8.33,Better
000092,Readmission rate for heart failure patients,14.98,No Different
000092,Readmission rate for COPD patients,11.49,No Different
000092,Readmission rate for heart attack patients,12.06,No Different
000092,Readmission rate for stroke patients,14.79,No Different
000092,Readmission rate for hip/knee replacement patients,8,No Different
000093,Readmission rate for heart failure patients,15.27,No Different
000093,Readmission rate for COPD patients,14.72,No Different
000093,Readmission rate for hip/knee replacement patients,15.31,Worse
000093,Readmission rate for pneumonia patients,12.49,No Different
000093,Readmission rate for heart attack patients,14.21,No Different
000094,Readmission rate for heart attack patients,15.31,No Different
000094,Readmission rate for hip/knee replacement patients,15.78,No Different
000094,Readmission rate for COPD patients,18.4,Worse
000095,Readmission rate for heart attack patients,11.63,Better
000095,Readmission rate for pneumonia patients,16.4,Better
000095,Readmission rate for stroke patients,12.19,Better
000095,Readmission rate for hip/knee replacement patients,17.75,Better
000096,Readmission rate for heart failure patients,16.25,Better
000096,Readmission rate for COPD patients,15.26,No Different
000096,Readmission rate for pneumonia patients,17.09,Better
000097,Readmission rate for hip/knee replacement patients,10.27,No Different
000097,Readmission rate for heart failure patients,11.91,No Different
000097,Readmission rate for heart attack patients,10.47,No Different
000097,Readmission rate for COPD patients,11.69,No Different
000098,Readmission rate for hip/knee replacement patients,13.83,No Different
000098,Readmission rate for pneumonia patients,12.05,No Different
000098,Readmission rate for COPD patients,10.33,No Different
000098,Readmission rate for heart attack patients,12.67,Better
000099,Readmission rate for pneumonia patients,15.16,Worse
000099,Readmission rate for heart attack patients,16.37,No Different
000099,Readmission rate for heart failure patients,17.38,Worse
000099,Readmission rate for hip/knee replacement patients,11.51,Worse
000099,Readmission rate for stroke patients,13.66,No Different
000099,Readmission rate for COPD patients,16.99,Worse
000100,Readmission rate for COPD patients,16.52,Worse
000100,Readmission rate for heart attack patients,16.02,No Different
000100,Readmission rate for heart failure patients,16.25,No Different
000100,Readmission rate for hip/knee replacement patients,13.97,Better
000100,Readmission rate for stroke patients,14.75,No Different
000100,Readmission rate for pneumonia patients,15.67,Better
000101,Readmission rate for pneumonia patients,17.33,No Different
000101,Readmission rate for stroke patients,14.3,Better
000101,Readmission rate for heart failure patients,17.44,No Different
000102,Readmission rate for heart attack patients,14.94,Better
000102,Readmission rate for hip/knee replacement patients,19.93,No Different
000102,Readmission rate for COPD patients,16.54,No Different
000102,Readmission rate for heart failure patients,15.18,No Different
000102,Readmission rate for stroke patients,17.3,Worse
000103,Readmission rate for hip/knee replacement patients,23.25,No Different
000103,Readmission rate for pneumonia patients,20.34,No Different
000103,Readmission rate for COPD patients,18.03,No Different
000104,Readmission rate for pneumonia patients,13.78,No Different
000104,Readmission rate for heart failure patients,12.85,No Different
000104,Readmission rate for heart attack patients,8,Worse
000104,Readmission rate for COPD patients,14.16,No Different
000104,Readmission rate for hip/knee replacement patients,12.44,No Different
000104,Readmission rate for stroke patients,9.25,No Different
000105,Readmission rate for COPD patients,20.98,No Different
000105,Readmission rate for heart attack patients,17.53,No Different
000105,Readmission rate for hip/knee replacement patients,16.38,No Different
000105,Readmission rate for stroke patients,20.03,No Different
000105,Readmission rate for pneumonia patients,17.94,Better
000105,Readmission rate for heart failure patients,21.67,No Different
000106,Readmission rate for hip/knee replacement patients,16.22,No Different
000106,Readmission rate for heart attack patients,16.2,Better
000106,Readmission rate for pneumonia patients,12.23,Better
000107,Readmission rate for COPD patients,14.94,No Different
000107,Readmission rate for pneumonia patients,14.26,No Different
000107,Readmission rate for heart failure patients,14.34,No Different
000107,Readmission rate for heart attack patients,12.49,No Different
000107,Readmission rate for hip/knee replacement patients,13.49,No Different
000108,Readmission rate for heart attack patients,17.23,No Different
000108,Readmission rate for pneumonia patients,13.39,No Different
000108,Readmission rate for stroke patients,14.08,Better
000108,Readmission rate for heart failure patients,14.28,No Different
000108,Readmission rate for COPD patients,18.02,Better
000108,Readmission rate for hip/knee replacement patients,15.62,Worse
000109,Readmission rate for heart attack patients,13.45,No Different
000109,Readmission rate for COPD patients,18.72,Better
000109,Readmission rate for hip/knee replacement patients,14.36,Better
000109,Readmission rate for heart failure patients,16.62,No Different
000109,Readmission rate for pneumonia patients,20.99,No Different
000110,Readmission rate for hip/knee replacement patients,13.03,Better
000110,Readmission rate for stroke patients,8.7,Better
000110,Readmission rate for COPD patients,11.7,No Different
000111,Readmission rate for COPD patients,16.86,Better
000111,Readmission rate for heart attack patients,16.96,No Different
000111,Readmission rate for hip/knee replacement patients,19.13,No Different
000112,Readmission rate for heart attack patients,21.8,No Different
000112,Readmission rate for COPD patients,20.59,No Different
000112,Readmission rate for pneumonia patients,19.53,No Different
000113,Readmission rate for hip/knee replacement patients,17.82,No Different
000113,Readmission rate for COPD patients,17.85,Better
000113,Readmission rate for heart failure patients,17.62,No Different
000113,Readmission rate for pneumonia patients,15.96,No Different
000113,Readmission rate for heart attack patients,16.48,No Different
000113,Readmission rate for stroke patients,15.17,Worse
000114,Readmission rate for heart attack patients,13.9,Better
000114,Readmission rate for pneumonia patients,11.08,No Different
000114,Readmission rate for hip/knee replacement patients,12.83,Better
000114,Readmission rate for stroke patients,13.36,No Different
000114,Readmission rate for heart failure patients,16.21,Better
000115,Readmission rate for heart attack patients,14.45,No Different
000115,Readmission rate for COPD patients,15.03,Better
000115,Readmission rate for heart failure patients,19.15,No Different
000115,Readmission rate for stroke patients,20.52,No Different
000116,Readmission rate for heart failure patients,13.75,No Different
000116,Readmission rate for stroke patients,18.11,Better
000116,Readmission rate for COPD patients,16.55,Better
000116,Readmission rate for heart attack patients,16.56,No Different
000117,Readmission rate for COPD patients,11.71,No Different
000117,Readmission rate for pneumonia patients,9.13,No Different
000117,Readmission rate for hip/knee replacement patients,13.02,No Different
000117,Readmission rate for heart failure patients,16.13,No Different
000117,Readmission rate for heart attack patients,13.75,No Different
000118,Readmission rate for pneumonia patients,12.63,No Different
000118,Readmission rate for heart failure patients,12.52,No Different
000118,Readmission rate for COPD patients,13.81,No Different
000119,Readmission rate for heart failure patients,19.39,Worse
000119,Readmission rate for heart attack patients,21.35,No Different
000119,Readmission rate for stroke patients,20.33,No Different
000119,Readmission rate for hip/knee replacement patients,17.04,Worse
000119,Readmission rate for pneumonia patients,17.74,No Different
000120,Readmission rate for heart failure patients,14.07,No Different
000120,Readmission rate for COPD patients,22.59,No Different
000120,Readmission rate for pneumonia patients,15.87,No Different
000120,Readmission rate for heart attack patients,18.44,No Different
000120,Readmission rate for stroke patients,21.26,Better
000121,Readmission rate for heart attack patients,15.8,No Different
000121,Readmission rate for stroke patients,16.78,No Different
000121,Readmission rate for hip/knee replacement patients,17.12,No Different
000121,Readmission rate for heart failure patients,18.35,No Different
000121,Readmission rate for COPD patients,18.96,No Different
000121,Readmission rate for pneumonia patients,18.87,Better
000122,Readmission rate for stroke patients,15.37,Worse
