Facility ID,Measure Name,Score,Compared to National
000046,Surgical site infections (SSI) - Abdominal hysterectomy,0.61,Worse
000046,Surgical site infections (SSI) - Colon surgery,0.589,No Different
000046,Methicillin-resistant Staphylococcus aureus (MRSA),1.052,Better
000046,Catheter-associated urinary tract infections (CAUTI),0.402,Better
000046,Central line-associated bloodstream infections (CLABSI),0.691,No Different
000046,Clostridium difficile (C.diff) infections,0.417,Better
000047,Clostridium difficile (C.diff) infections,0.895,No Different
000047,Surgical site infections (SSI) - Colon surgery,0.954,Worse
000047,Methicillin-resistant Staphylococcus aureus (MRSA),0.877,No Different
000047,Surgical site infections (SSI) - Abdominal hysterectomy,0.794,Better
000047,Central line-associated bloodstream infections (CLABSI),1.146,No Different
000047,Catheter-associated urinary tract infections (CAUTI),1.195,Worse
000048,Surgical site infections (SSI) - Colon surgery,0.908,Better
000048,Catheter-associated urinary tract infections (CAUTI),0.808,Better
000048,Methicillin-resistant Staphylococcus aureus (MRSA),0.733,No Different
000048,Surgical site infections (SSI) - Abdominal hysterectomy,0.664,No Different
000048,Central line-associated bloodstream infections (CLABSI),0.708,No Different
000048,Clostridium difficile (C.diff) infections,0.865,No Different
000049,Catheter-associated urinary tract infections (CAUTI),1.352,No Different
000049,Surgical site infections (SSI) - Abdominal hysterectomy,1.275,No Different
000049,Central line-associated bloodstream infections (CLABSI),1.064,No Different
000049,Surgical site infections (SSI) - Colon surgery,1.145,No Different
000049,Clostridium difficile (C.diff) infections,1.334,No Different
000050,Methicillin-resistant Staphylococcus aureus (MRSA),1.874,No Different
000050,Central line-associated bloodstream infections (CLABSI),1.358,Better
000050,Surgical site infections (SSI) - Abdominal hysterectomy,1.642,No Different
000050,Surgical site infections (SSI) - Colon surgery,1.683,No Different
000050,Catheter-associated urinary tract infections (CAUTI),1.564,No Different
000051,Methicillin-resistant Staphylococcus aureus (MRSA),1.411,No Different
000051,Surgical site infections (SSI) - Abdominal hysterectomy,1.199,No Different
000051,Clostridium difficile (C.diff) infections,1.392,Better
000051,Catheter-associated urinary tract infections (CAUTI),1.832,No Different
000051,Surgical site infections (SSI) - Colon surgery,1.681,No Different
000052,Methicillin-resistant Staphylococcus aureus (MRSA),1.188,Worse
000052,Central line-associated bloodstream infections (CLABSI),1.531,Better
000052,Catheter-associated urinary tract infections (CAUTI),1.107,Better
000053,Methicillin-resistant Staphylococcus aureus (MRSA),0.88,Worse
000053,Clostridium difficile (C.diff) infections,1.053,No Different
000053,Surgical site infections (SSI) - Abdominal hysterectomy,0.977,No Different
000054,Methicillin-resistant Staphylococcus aureus (MRSA),1.694,No Different
000054,Catheter-associated urinary tract infections (CAUTI),1.774,No Different
000054,Surgical site infections (SSI) - Colon surgery,1.227,No Different
000054,Central line-associated bloodstream infections (CLABSI),1.545,No Different
000055,Surgical site infections (SSI) - Abdominal hysterectomy,0.808,Worse
000055,Central line-associated bloodstream infections (CLABSI),1.214,Better
000055,Surgical site infections (SSI) - Colon surgery,1.237,Worse
000055,Clostridium difficile (C.diff) infections,0.932,No Different
000056,Surgical site infections (SSI) - Colon surgery,0.732,No Different
000056,Catheter-associated urinary tract infections (CAUTI),0.363,Better
000056,Surgical site infections (SSI) - Abdominal hysterectomy,0.578,Better
000056,Methicillin-resistant Staphylococcus aureus (MRSA),0.856,No Different
000057,Catheter-associated urinary tract infections (CAUTI),1.392,No Different
000057,Central line-associated bloodstream infections (CLABSI),1.48,No Different
000057,Surgical site infections (SSI) - Abdominal hysterectomy,1.329,No Different
000057,Surgical site infections (SSI) - Colon surgery,1.366,No Different
000057,Clostridium difficile (C.diff) infections,1.652,Better
000057,Methicillin-resistant Staphylococcus aureus (MRSA),1.574,No Different
000058,Surgical site infections (SSI) - Abdominal hysterectomy,0.707,Worse
000058,Surgical site infections (SSI) - Colon surgery,0.939,No Different
000058,Methicillin-resistant Staphylococcus aureus (MRSA),0.927,Better
000058,Clostridium difficile (C.diff) infections,1.246,No Different
000058,Catheter-associated urinary tract infections (CAUTI),0.87,Worse
000059,Methicillin-resistant Staphylococcus aureus (MRSA),0.846,Worse
000059,Clostridium difficile (C.diff) infections,0.898,No Different
000059,Catheter-associated urinary tract infections (CAUTI),0.596,Better
000059,Surgical site infections (SSI) - Colon surgery,0.802,No Different
000059,Surgical site infections (SSI) - Abdominal hysterectomy,1.483,No Different
000059,Central line-associated bloodstream infections (CLABSI),0.838,Better
000060,Surgical site infections (SSI) - Abdominal hysterectomy,0.429,Worse
000060,Central line-associated bloodstream infections (CLABSI),0.672,No Different
000060,Methicillin-resistant Staphylococcus aureus (MRSA),1.133,No Different
000060,Catheter-associated urinary tract infections (CAUTI),0.911,No Different
000060,Clostridium difficile (C.diff) infections,0.713,No Different
000060,Surgical site infections (SSI) - Colon surgery,0.8,Worse
000061,Methicillin-resistant Staphylococcus aureus (MRSA),1.43,Better
000061,Central line-associated bloodstream infections (CLABSI),1.151,No Different
000061,Clostridium difficile (C.diff) infections,1.035,No Different
000062,Clostridium difficile (C.diff) infections,1.579,No Different
000062,Surgical site infections (SSI) - Abdominal hysterectomy,1.992,No Different
000062,Surgical site infections (SSI) - Colon surgery,1.286,No Different
000062,Methicillin-resistant Staphylococcus aureus (MRSA),1.655,No Different
000062,Catheter-associated urinary tract infections (CAUTI),1.741,Worse
000062,Central line-associated bloodstream infections (CLABSI),1.863,Worse
000063,Surgical site infections (SSI) - Colon surgery,1.421,No Different
000063,Methicillin-resistant Staphylococcus aureus (MRSA),1.229,No Different
000063,Clostridium difficile (C.diff) infections,1.24,No Different
000063,Central line-associated bloodstream infections (CLABSI),1.53,No Different
000064,Methicillin-resistant Staphylococcus aureus (MRSA),1.719,Better
000064,Surgical site infections (SSI) - Abdominal hysterectomy,1.296,No Different
000064,Clostridium difficile (C.diff) infections,1.697,Worse
000065,Central line-associated bloodstream infections (CLABSI),1.666,Worse
000065,Surgical site infections (SSI) - Abdominal hysterectomy,1.642,No Different
000065,Clostridium difficile (C.diff) infections,1.568,No Different
000065,Methicillin-resistant Staphylococcus aureus (MRSA),1.193,No Different
000066,Catheter-associated urinary tract infections (CAUTI),1.385,No Different
000066,Surgical site infections (SSI) - Abdominal hysterectomy,1.38,No Different
000066,Central line-associated bloodstream infections (CLABSI),0.969,No Different
000066,Surgical site infections (SSI) - Colon surgery,1.162,No Different
000066,Clostridium difficile (C.diff) infections,1.141,No Different
000066,Methicillin-resistant Staphylococcus aureus (MRSA),1.21,Worse
000067,Clostridium difficile (C.diff) infections,1.341,Better
000067,Central line-associated bloodstream infections (CLABSI),1.344,Worse
000067,Surgical site infections (SSI) - Colon surgery,1.453,No Different
000068,Surgical site infections (SSI) - Abdominal hysterectomy,1.043,Better
000068,Methicillin-resistant Staphylococcus aureus (MRSA),0.915,Better
000068,Catheter-associated urinary tract infections (CAUTI),1.208,No Different
000069,Surgical site infections (SSI) - Abdominal hysterectomy,0.509,No Different
000069,Catheter-associated urinary tract infections (CAUTI),0.716,No Different
000069,Central line-associated bloodstream infections (CLABSI),0.694,No Different
000069,Surgical site infections (SSI) - Colon surgery,0.701,No Different
000069,Clostridium difficile (C.diff) infections,0.652,Better
000070,Central line-associated bloodstream infections (CLABSI),1.065,Worse
000070,Surgical site infections (SSI) - Colon surgery,0.604,No Different
000070,Methicillin-resistant Staphylococcus aureus (MRSA),1.16,Better
000070,Clostridium difficile (C.diff) infections,0.803,No Different
000070,Catheter-associated urinary tract infections (CAUTI),0.745,No Different
000071,Catheter-associated urinary tract infections (CAUTI),1.009,No Different
000071,Methicillin-resistant Staphylococcus aureus (MRSA),0.996,No Different
000071,Surgical site infections (SSI) - Abdominal hysterectomy,0.822,No Different
000071,Clostridium difficile (C.diff) infections,0.824,No Different
000072,Clostridium difficile (C.diff) infections,1.441,No Different
000072,Surgical site infections (SSI) - Colon surgery,1.204,Better
000072,Catheter-associated urinary tract infections (CAUTI),1.279,No Different
000072,Methicillin-resistant Staphylococcus aureus (MRSA),1.049,No Different
000072,Surgical site infections (SSI) - Abdominal hysterectomy,1.15,Worse
000072,Central line-associated bloodstream infections (CLABSI),0.846,Better
000073,Catheter-associated urinary tract infections (CAUTI),0.418,No Different
000073,Surgical site infections (SSI) - Abdominal hysterectomy,0.439,No Different
000073,Methicillin-resistant Staphylococcus aureus (MRSA),0.543,Better
000073,Central line-associated bloodstream infections (CLABSI),0.571,Worse
000073,Clostridium difficile (C.diff) infections,0.186,No Different
000073,Surgical site infections (SSI) - Colon surgery,0.853,No Different
000074,Central line-associated bloodstream infections (CLABSI),0.847,No Different
000074,Methicillin-resistant Staphylococcus aureus (MRSA),0.791,No Different
000074,Surgical site infections (SSI) - Abdominal hysterectomy,0.715,No Different
000074,Catheter-associated urinary tract infections (CAUTI),0.755,No Different
000075,Surgical site infections (SSI) - Abdominal hysterectomy,0.734,No Different
000075,Catheter-associated urinary tract infections (CAUTI),0.757,No Different
000075,Clostridium difficile (C.diff) infections,0.436,No Different
000075,Methicillin-resistant Staphylococcus aureus (MRSA),0.699,No Different
000075,Surgical site infections (SSI) - Colon surgery,0.844,No Different
000075,Central line-associated bloodstream infections (CLABSI),0.512,No Different
000076,Clostridium difficile (C.diff) infections,0.954,No Different
000076,Surgical site infections (SSI) - Abdominal hysterectomy,1.106,No Different
000076,Surgical site infections (SSI) - Colon surgery,1.236,No Different
000077,Clostridium difficile (C.diff) infections,0.873,No Different
000077,Surgical site infections (SSI) - Colon surgery,0.416,No Different
000077,Methicillin-resistant Staphylococcus aureus (MRSA),0.818,No Different
000077,Catheter-associated urinary tract infections (CAUTI),0.507,No Different
000077,Central line-associated bloodstream infections (CLABSI),0.939,No Different
000077,Surgical site infections (SSI) - Abdominal hysterectomy,0.662,No Different
000078,Catheter-associated urinary tract infections (CAUTI),1.442,No Different
000078,Clostridium difficile (C.diff) infections,1.477,No Different
000078,Methicillin-resistant Staphylococcus aureus (MRSA),1.092,Worse
000078,Central line-associated bloodstream infections (CLABSI),1.482,No Different
000078,Surgical site infections (SSI) - Abdominal hysterectomy,1.323,No Different
000078,Surgical site infections (SSI) - Colon surgery,1.39,No Different
000079,Surgical site infections (SSI) - Colon surgery,0.655,Worse
000079,Clostridium difficile (C.diff) infections,1.012,No Different
000079,Surgical site infections (SSI) - Abdominal hysterectomy,0.456,No Different
000079,Methicillin-resistant Staphylococcus aureus (MRSA),0.752,No Different
000080,Surgical site infections (SSI) - Abdominal hysterectomy,0.522,No Different
000080,Catheter-associated urinary tract infections (CAUTI),0.323,Better
000080,Central line-associated bloodstream infections (CLABSI),0.596,No Different
000080,Surgical site infections (SSI) - Colon surgery,0.609,Better
000080,Clostridium difficile (C.diff) infections,0.1,Better
000080,Methicillin-resistant Staphylococcus aureus (MRSA),0.502,No Different
000081,Catheter-associated urinary tract infections (CAUTI),1.194,No Different
000081,Methicillin-resistant Staphylococcus aureus (MRSA),0.628,No Different
000081,Central line-associated bloodstream infections (CLABSI),1.118,No Different
000081,Surgical site infections (SSI) - Abdominal hysterectomy,1.009,No Different
000081,Clostridium difficile (C.diff) infections,0.895,No Different
000081,Surgical site infections (SSI) - Colon surgery,1.053,Better
000082,Methicillin-resistant Staphylococcus aureus (MRSA),0.459,Worse
000082,Catheter-associated urinary tract infections (CAUTI),0.925,No Different
000082,Central line-associated bloodstream infections (CLABSI),0.924,No Different
000082,Surgical site infections (SSI) - Abdominal hysterectomy,0.653,Worse
000082,Clostridium difficile (C.diff) infections,1.199,No Different
000083,Catheter-associated urinary tract infections (CAUTI),0.929,Better
000083,Central line-associated bloodstream infections (CLABSI),0.927,No Different
000083,Surgical site infections (SSI) - Colon surgery,0.823,No Different
000083,Clostridium difficile (C.diff) infections,1.049,No Different
000083,Methicillin-resistant Staphylococcus aureus (MRSA),0.977,No Different
000084,Surgical site infections (SSI) - Abdominal hysterectomy,1.016,Better
000084,Surgical site infections (SSI) - Colon surgery,0.96,Better
000084,Methicillin-resistant Staphylococcus aureus (MRSA),0.712,No Different
000084,Catheter-associated urinary tract infections (CAUTI),0.952,Better
000085,Surgical site infections (SSI) - Colon surgery,0.571,Better
000085,Catheter-associated urinary tract infections (CAUTI),0.628,No Different
000085,Methicillin-resistant Staphylococcus aureus (MRSA),0.874,No Different
000085,Central line-associated bloodstream infections (CLABSI),0.834,No Different
000085,Clostridium difficile (C.diff) infections,1.192,Worse
000085,Surgical site infections (SSI) - Abdominal hysterectomy,1.237,No Different
000086,Central line-associated bloodstream infections (CLABSI),0.482,No Different
000086,Methicillin-resistant Staphylococcus aureus (MRSA),0.672,Better
000086,Surgical site infections (SSI) - Abdominal hysterectomy,0.516,No Different
000087,Surgical site infections (SSI) - Abdominal hysterectomy,0.788,No Different
000087,Methicillin-resistant Staphylococcus aureus (MRSA),1.086,Worse
000087,Surgical site infections (SSI) - Colon surgery,0.487,Worse
000088,Catheter-associated urinary tract infections (CAUTI),0.721,No Different
000088,Surgical site infections (SSI) - Abdominal hysterectomy,0.215,No Different
000088,Surgical site infections (SSI) - Colon surgery,0.967,No Different
000088,Methicillin-resistant Staphylococcus aureus (MRSA),0.927,Worse
000088,Central line-associated bloodstream infections (CLABSI),1.267,No Different
000088,Clostridium difficile (C.diff) infections,0.651,No Different
000089,Clostridium difficile (C.diff) infections,0.919,No Different
000089,Surgical site infections (SSI) - Colon surgery,0.672,No Different
000089,Catheter-associated urinary tract infections (CAUTI),0.497,Better
000089,Central line-associated bloodstream infections (CLABSI),0.744,Worse
000090,Catheter-associated urinary tract infections (CAUTI),1.396,No Different
000090,Surgical site infections (SSI) - Colon surgery,1.326,No Different
000090,Methicillin-resistant Staphylococcus aureus (MRSA),1.485,No Different
000090,Surgical site infections (SSI) - Abdominal hysterectomy,1.261,No Different
000090,Central line-associated bloodstream infections (CLABSI),1.107,Worse
000090,Clostridium difficile (C.diff) infections,1.533,No Different
000091,Catheter-associated urinary tract infections (CAUTI),1.328,Worse
000091,Methicillin-resistant Staphylococcus aureus (MRSA),0.822,No Different
000091,Surgical site infections (SSI) - Colon surgery,1.455,Worse
000092,Surgical site infections (SSI) - Colon surgery,1.131,Worse
000092,Surgical site infections (SSI) - Abdominal hysterectomy,0.762,No Different
000092,Central line-associated bloodstream infections (CLABSI),0.817,No Different
000093,Surgical site infections (SSI) - Colon surgery,0.603,Better
000093,Clostridium difficile (C.diff) infections,0.544,No Different
000093,Surgical site infections (SSI) - Abdominal hysterectomy,0.38,Better
000093,Catheter-associated urinary tract infections (CAUTI),0.151,No Different
000093,Methicillin-resistant Staphylococcus aureus (MRSA),0.615,Better
000094,Surgical site infections (SSI) - Colon surgery,0.1,No Different
000094,Methicillin-resistant Staphylococcus aureus (MRSA),0.54,No Different
000094,Central line-associated bloodstream infections (CLABSI),0.529,No Different
000094,Catheter-associated urinary tract infections (CAUTI),0.56,No Different
000094,Clostridium difficile (C.diff) infections,0.363,No Different
000095,Methicillin-resistant Staphylococcus aureus (MRSA),0.601,Better
000095,Surgical site infections (SSI) - Colon surgery,0.655,Worse
